Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


PPFAS Mutual Fund
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.4146;17.0663;17.4146;10-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.2944;16.9485;17.2944;11-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.2110;16.8668;17.2110;14-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.3142;16.9679;17.3142;15-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.3893;17.0415;17.3893;16-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.5397;17.1889;17.5397;17-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.4762;17.1267;17.4762;18-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.4792;17.1296;17.4792;21-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.5738;17.2223;17.5738;22-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.6517;17.2987;17.6517;23-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.6266;17.2741;17.6266;24-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.7102;17.3560;17.7102;28-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.7387;17.3839;17.7387;29-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.7863;17.4306;17.7863;30-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.7732;17.4177;17.7732;31-Dec-2015
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.7309;17.3763;17.7309;01-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.6198;17.2674;17.6198;04-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.5779;17.2263;17.5779;05-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.5596;17.2084;17.5596;06-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.2838;16.9381;17.2838;07-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.2514;16.9064;17.2514;08-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.1288;16.7862;17.1288;11-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;17.0742;16.7327;17.0742;12-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.9492;16.6102;16.9492;13-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.7277;16.3931;16.7277;14-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.5564;16.2253;16.5564;15-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.9963;15.6764;15.9963;18-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.2189;15.8945;16.2189;19-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.1072;15.7851;16.1072;20-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.1241;15.8016;16.1241;21-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.3124;15.9862;16.3124;22-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.4510;16.1220;16.4510;25-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.4458;16.1169;16.4458;27-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.3986;16.0706;16.3986;28-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.5919;16.2601;16.5919;29-Jan-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.6609;16.3277;16.6609;01-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.6031;16.2710;16.6031;02-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.4455;16.1166;16.4455;03-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.3545;16.0274;16.3545;04-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.3692;16.0418;16.3692;05-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.3234;15.9969;16.3234;08-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.2121;15.8879;16.2121;09-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.0879;15.7661;16.0879;10-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.6903;15.3765;15.6903;11-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.5877;15.2759;15.5877;12-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.9409;15.6221;15.9409;15-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.7268;15.4123;15.7268;16-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.8319;15.5153;15.8319;17-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.0044;15.6843;16.0044;18-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.9674;15.6481;15.9674;19-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.9948;15.6749;15.9948;22-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.9318;15.6132;15.9318;23-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.7322;15.4176;15.7322;24-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.6638;15.3505;15.6638;25-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.7158;15.4015;15.7158;26-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.6564;15.3433;15.6564;29-Feb-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;15.8379;15.5211;15.8379;01-Mar-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.1479;15.8249;16.1479;02-Mar-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.2041;15.8800;16.2041;03-Mar-2016
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;16.2373;15.9126;16.2373;04-Mar-2016
