Scheme Code;Net Asset Value;Repurchase Price;Sale Price;Date
100471;Franklin India Bluechip Fund-Growth;135.6112;135.6112;138.6625;17-May-2007
100471;Franklin India Bluechip Fund-Growth;135.7610;135.7610;138.8156;18-May-2007
100471;Franklin India Bluechip Fund-Growth;136.5340;136.5340;139.6060;21-May-2007
100471;Franklin India Bluechip Fund-Growth;137.7135;137.7135;140.8121;22-May-2007
100471;Franklin India Bluechip Fund-Growth;136.5647;136.5647;139.6374;23-May-2007
100471;Franklin India Bluechip Fund-Growth;135.8514;135.8514;138.9081;24-May-2007
100471;Franklin India Bluechip Fund-Growth;136.9413;136.9413;140.0225;25-May-2007
100471;Franklin India Bluechip Fund-Growth;137.9494;137.9494;141.0533;28-May-2007
100471;Franklin India Bluechip Fund-Growth;139.2224;139.2224;142.3549;29-May-2007
100471;Franklin India Bluechip Fund-Growth;138.0919;138.0919;141.1990;30-May-2007
100471;Franklin India Bluechip Fund-Growth;139.7843;139.7843;142.9294;31-May-2007
100471;Franklin India Bluechip Fund-Growth;140.0228;140.0228;143.1733;01-Jun-2007
100471;Franklin India Bluechip Fund-Growth;138.7499;138.7499;141.8718;04-Jun-2007
100471;Franklin India Bluechip Fund-Growth;139.3297;139.3297;142.4646;05-Jun-2007
100471;Franklin India Bluechip Fund-Growth;136.8812;136.8812;139.9610;06-Jun-2007
100471;Franklin India Bluechip Fund-Growth;135.8971;135.8971;138.9548;07-Jun-2007
100471;Franklin India Bluechip Fund-Growth;134.3180;134.3180;137.3402;08-Jun-2007
100471;Franklin India Bluechip Fund-Growth;134.0950;134.0950;137.1121;11-Jun-2007
100471;Franklin India Bluechip Fund-Growth;134.1025;134.1025;137.1198;12-Jun-2007
100471;Franklin India Bluechip Fund-Growth;133.2434;133.2434;136.2414;13-Jun-2007
100471;Franklin India Bluechip Fund-Growth;135.5720;135.5720;138.6224;14-Jun-2007
100471;Franklin India Bluechip Fund-Growth;135.4166;135.4166;138.4635;15-Jun-2007
100471;Franklin India Bluechip Fund-Growth;135.0541;135.0541;138.0928;18-Jun-2007
100471;Franklin India Bluechip Fund-Growth;136.8468;136.8468;139.9259;19-Jun-2007
100471;Franklin India Bluechip Fund-Growth;138.0708;138.0708;141.1774;20-Jun-2007
100471;Franklin India Bluechip Fund-Growth;139.6103;139.6103;142.7515;21-Jun-2007
100471;Franklin India Bluechip Fund-Growth;139.1388;139.1388;142.2694;22-Jun-2007
100471;Franklin India Bluechip Fund-Growth;139.1732;139.1732;142.3046;25-Jun-2007
100471;Franklin India Bluechip Fund-Growth;140.0521;140.0521;143.2033;26-Jun-2007
100471;Franklin India Bluechip Fund-Growth;139.7449;139.7449;142.8892;27-Jun-2007
100471;Franklin India Bluechip Fund-Growth;140.7614;140.7614;143.9285;28-Jun-2007
100471;Franklin India Bluechip Fund-Growth;142.4306;142.4306;145.6353;29-Jun-2007
100471;Franklin India Bluechip Fund-Growth;142.6986;142.6986;145.9093;02-Jul-2007
100471;Franklin India Bluechip Fund-Growth;144.1900;144.1900;147.4343;03-Jul-2007
100471;Franklin India Bluechip Fund-Growth;144.3358;144.3358;147.5834;04-Jul-2007
100471;Franklin India Bluechip Fund-Growth;144.1854;144.1854;147.4296;05-Jul-2007
100471;Franklin India Bluechip Fund-Growth;144.9448;144.9448;148.2061;06-Jul-2007
100471;Franklin India Bluechip Fund-Growth;145.7418;145.7418;149.0210;09-Jul-2007
100471;Franklin India Bluechip Fund-Growth;145.0525;145.0525;148.3162;10-Jul-2007
